År;Kön;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2003;Kvinnor;0;0.4;0.66;0.76;1.18;2.9;1;2.16;6.21;15.93;20.12;30.98;67.99;93.31;147.93;189.6;221.16;183.05;40.89
2002;Män;0;0;0.63;2.22;0.38;1.37;2.23;2.37;7.05;9.42;17.39;33.77;67.47;119.04;165.39;242.97;285.33;282.46;38.46
2002;Kvinnor;0;0;0.33;1.57;1.58;2.48;3.64;3.12;5.23;13.84;21.61;39.98;58.19;86.18;156.01;186.58;214.95;180.54;40.73
2001;Män;0;0;0.98;0.38;1.52;1.01;3.77;3.95;5.38;15.53;23.18;35.44;64.58;115.69;156.17;251;264.03;257.78;38.06
2001;Kvinnor;0;0;1.03;1.6;2.37;1.74;3.27;3.84;4.88;9.36;18.18;35.7;67.32;101.65;130.39;166.19;225.97;187.77;39.71
2000;Män;0;0;0.68;0.38;0.76;1.32;1.54;2.51;6.37;12.13;19.56;38.92;71.18;96.32;154.24;209.4;317.4;244.73;36.36
2000;Kvinnor;0;0;0.36;0;1.57;2.4;3.23;3.63;8.7;11.07;20.56;27.22;59.84;103.47;133.37;161.95;223.09;167.43;38.32
1999;Män;0;0;0.35;1.55;1.12;0.66;1.8;3.89;6.37;10.29;17.74;39.62;78.34;114.79;169.4;227.06;308.88;286.83;38.69
1999;Kvinnor;0;0.67;1.12;0.41;1.55;0.69;1.58;3.74;7.3;15.34;23.08;42.44;74.81;101.67;139.16;161.59;217.74;178.13;40.45
1998;Män;0;0;0;0;1.09;1.65;2.07;4.64;6.37;10.07;22.79;44.86;68.68;112.49;159.36;218.37;244.43;275.69;36.44
1998;Kvinnor;0.41;0;0.77;1.63;1.13;1.03;3.75;3.48;8.32;13;21.29;34.59;54.79;97.05;130.85;182.77;192.88;169.67;38.15
1997;Män;0;0;0;0.78;0.35;2.28;1.19;1.67;6.35;8.87;18.89;43.27;77.25;125.37;156.38;247.36;266.68;228.8;37.11
1997;Kvinnor;0;0.68;0;1.63;2.56;2.37;2.21;3.51;6.23;8.12;18.27;36.75;58.45;87.39;116.46;154.81;226.5;184.69;36.82
1996;Män;0;0;0.38;0.39;1.37;1.91;2.13;1.67;7.68;11.08;16.76;34.33;59.15;105.07;167.79;214.85;258.22;282.08;34.85
1996;Kvinnor;0;0;0;0.41;1.42;1.66;1.61;2.8;7.61;11.06;20.35;42.33;53.3;77.45;129.12;164.03;214.99;179.38;36.82
1995;Män;0;0;0;0.38;1.68;0.93;1.25;3.99;6.32;9.59;18.39;36.67;70.52;95.4;165.91;237.19;305.93;260.74;36.11
1995;Kvinnor;0;0.72;2.05;2.82;0.35;1.3;0.66;7.31;4.82;10.18;20.17;38.48;56.36;90.66;142.9;177.12;204.39;172.95;38.07
1994;Män;0;0.36;0;0;0.34;2.12;3.89;2;6.23;9.44;20.66;42.43;69.76;93.4;154.36;224.85;271.11;257.8;34.71
1994;Kvinnor;0;0;0.41;1.19;1.75;1.92;1.03;3.83;6.8;14.94;19.24;44.08;58.64;95.3;124.47;169.18;197.85;179.12;37.41
1993;Män;0;0;0.4;1.11;1.01;1.2;1.67;3.34;5.47;11.18;19.33;31.61;68.54;108.01;150.09;230.17;279.16;266.96;35.01
1993;Kvinnor;0;0;0.83;3.1;1.05;0.63;1.76;2.79;5.32;10.71;18.45;40.65;62.01;90.91;127.06;156.22;221.13;216.89;38.07
1992;Män;0;0;0;0.36;0.33;1.82;3.04;2.34;6.9;12.25;27.23;43.85;62.76;97.23;172.14;236.63;259.72;309.39;36.68
1992;Kvinnor;0;0;0.83;0.75;1.39;2.25;1.78;4.18;7.46;10.31;24.77;42.7;62.95;89.1;120.41;170.56;213.98;187.77;37.94
1991;Män;0;0;0.4;0.7;0.98;0.93;1.35;4.01;4.57;9.62;22.94;36.46;75.95;98.96;171.16;225.86;275.7;271.91;35.89
1991;Kvinnor;0;0;2.08;1.47;4.12;1.32;2.14;3.84;7.57;13.02;21.8;35.68;54.5;96.99;117;178.57;201.8;215.4;38.26
1990;Män;0;0;0.39;0;1.29;1.61;1.01;3.33;7.43;11.49;16.31;28.68;66.13;94.14;158.88;201.17;295.12;270.29;33.75
1990;Kvinnor;0;0;1.65;2.54;2.03;1.02;3.2;6.95;6.16;9.32;25.82;36.85;59.65;93.65;124.28;191.01;207.74;212.29;39.35
